product_id;product_name;product_category;brand;package_quantity;package_unit;price;currency
P025;apă plată;băuturi;Dorna;2;l;5.10;RON
P027;banane;legume și fructe;Generic;1;kg;6.00;RON
P029;ulei floarea-soarelui;alimente de bază;Floriol;1;l;9.30;RON
P032;biscuiți cu unt;gustări;Milka;0.2;kg;7.70;RON
P035;cafea măcinată;cafea;Jacobs;0.25;kg;22.80;RON
P038;detergent lichid;produse de menaj;Ariel;2.5;l;49.90;RON
P041;șampon păr gras;îngrijire personală;Elseve;400;ml;17.50;RON
P044;hârtie igienică 3 straturi;produse de menaj;Pufina;10;role;18.90;RON
P047;piper negru măcinat;condimente;Fuchs;50;g;6.20;RON
P050;vin alb demisec;băuturi;Recas;0.75;l;23.50;RON
P053;ciocolată neagră 70%;gustări;Heidi;100;g;4.20;RON
P056;cartofi albi;legume și fructe;Generic;1;kg;3.00;RON
P058;ceapă galbenă;legume și fructe;Generic;1;kg;2.80;RON
P059;morcovi;legume și fructe;Generic;0.5;kg;2.40;RON
P060;suc portocale;băuturi;Cappy;1;l;7.60;RON
P062;cașcaval;lactate;Delaco;0.25;kg;14.80;RON
