product_id;product_name;brand;package_quantity;package_unit;product_category;from_date;to_date;percentage_of_discount
P025;apă plată;Dorna;2;l;băuturi;2025-05-08;2025-05-14;7
P027;banane;Generic;1;kg;legume și fructe;2025-05-08;2025-05-14;6
P029;ulei floarea-soarelui;Floriol;1;l;alimente de bază;2025-05-08;2025-05-14;9
P032;biscuiți cu unt;Milka;0.2;kg;gustări;2025-05-09;2025-05-15;11
P035;cafea măcinată;Jacobs;0.25;kg;cafea;2025-05-10;2025-05-16;10
P044;hârtie igienică 3 straturi;Pufina;10;role;produse de menaj;2025-05-08;2025-05-14;14
P047;piper negru măcinat;Fuchs;50;g;condimente;2025-05-08;2025-05-14;8
P053;ciocolată neagră 70%;Heidi;100;g;gustări;2025-05-09;2025-05-15;12
P058;ceapă galbenă;Generic;1;kg;legume și fructe;2025-05-10;2025-05-16;5
P060;suc portocale;Cappy;1;l;băuturi;2025-05-08;2025-05-14;10
P062;cașcaval;Delaco;0.25;kg;lactate;2025-05-08;2025-05-14;9
